iata,name,city,country,lat,lon
ESH,Shoreham Airport,Shoreham By Sea,GB,50.8356,-0.2972
ESK,Eskişehir Air Base,Eskisehir,TR,39.7841,30.5821
ESL,Elista Airport,Elista,RU,46.3739,44.3309
ESM,General Rivadeneira Airport,Esmeraldas,EC,0.9785,-79.6266
ESN,Easton Newnam Field,Easton,US,38.8042,-76.069
ESR,Ricardo García Posada Airport,El Salvador,CL,-26.3111,-69.7652
ESS,Essen Mulheim Airport,Essen,DE,51.4023,6.9373
ESU,Mogador Airport,Essadouira,MA,31.3975,-9.6817
ETB,West Bend Municipal Airport,WEST BEND,US,43.4222,-88.1279
ETH,Eilat Airport,Elat,IL,29.5613,34.9601
ETM,Ramon Airport,Eilat,IL,29.7237,35.0114
ETR,Santa Rosa International Airport,Santa Rosa,EC,-3.442,-79.997
ETS,Enterprise Municipal Airport,Enterprise,US,31.2997,-85.8999
ETZ,Metz-Nancy-Lorraine Airport,Metz,FR,48.9821,6.2513
EUA,Kaufana Airport,Eua Island,TO,-21.3783,-174.958
EUF,Weedon Field,Eufala,US,31.9513,-85.1289
EUG,Mahlon Sweet Field,Eugene,US,44.1246,-123.212
EUM,Neumünster Airport,Neumuenster,DE,54.0794,9.9414
EUN,Hassan I Airport,El Aaiún,EH,27.1517,-13.2192
EUQ,Evelio Javier Airport,San Jose,PH,10.766,121.933
EUX,F. D. Roosevelt Airport,Oranjestad,AN,17.4965,-62.9794
EVE,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,NO,68.4913,16.6781
EVG,Sveg Airport,Sveg,SE,62.0478,14.4229
EVN,Zvartnots International Airport,Yerevan,AM,40.1473,44.3959
EVV,Evansville Regional Airport,Evansville,US,38.037,-87.5324
EVW,Evanston-Uinta County Airport-Burns Field,Evanston,US,41.2748,-111.035
EVX,Évreux-Fauville (BA 105) Air Base,Evreux,FR,49.0287,1.2199
EWB,New Bedford Regional Airport,New Bedford,US,41.6761,-70.9569
EWK,Newton City-County Airport,Newton,US,38.0582,-97.2745
EWN,Coastal Carolina Regional Airport,New Bern,US,35.073,-77.0429
EWR,Newark Liberty International Airport,Newark,US,40.6925,-74.1687
EXT,Exeter International Airport,Exeter,GB,50.7344,-3.4139
EYK,Beloyarskiy Airport,Beloyarsky,RU,63.6869,66.6986
EYP,El Yopal Airport,Yopal,CO,5.3191,-72.384
EYW,Key West International Airport,Key West,US,24.5561,-81.7596
EZE,Ministro Pistarini International Airport,Buenos Aires,AR,-34.8222,-58.5358
EZS,Elazığ Airport,Elazig,TR,38.6069,39.2914
EZV,Berezovo Airport,Berezovo,RU,63.921,65.0305
FAA,Faranah Airport,Faranah,GN,10.0355,-10.7698
FAB,Farnborough Airport,Farnborough,GB,51.2758,-0.7763
FAC,Faaite Airport,Faaite,PF,-16.6867,-145.329
FAE,Vagar Airport,Vagar,FO,62.0636,-7.2772
FAF,Felker Army Air Field,Fort Eustis,US,37.1325,-76.6088
FAH,Farah Airport,Farah,AF,32.367,62.183
FAI,Fairbanks International Airport,Fairbanks,US,64.8151,-147.856
FAJ,Diego Jimenez Torres Airport,Fajardo,PR,18.3089,-65.6619
FAN,Lista Airport,Farsund,NO,58.0995,6.626
FAO,Faro Airport,Faro,PT,37.0144,-7.9659
FAR,Hector International Airport,Fargo,US,46.9207,-96.8158
FAT,Fresno Yosemite International Airport,Fresno,US,36.7762,-119.718
FAV,Fakarava Airport,Fakarava,PF,-16.0541,-145.657
FAY,Fayetteville Regional Grannis Field,Fayetteville,US,34.9912,-78.8803
FAZ,Fasa Airport,Fasa,IR,28.8918,53.7233
FBA,Fonte Boa Airport,Fonte Boa,BR,-2.5326,-66.0832
FBD,Fayzabad Airport,Faizabad,AF,37.1211,70.5181
FBE,Francisco Beltrão Airport,Francisco Beltrao,BR,-26.0592,-53.0635
FBG,Simmons Army Air Field,Fredericksburg,US,35.1318,-78.9367
FBK,Ladd AAF Airfield,Fort Wainwright,US,64.8375,-147.614
FBM,Lubumbashi International Airport,Lubumashi,CD,-11.5913,27.5309
FBR,Fort Bridger Airport,Fort Bridger,US,41.3919,-110.407
FBU,"Oslo, Fornebu Airport",Oslo,NO,59.8958,10.6172
FCA,Glacier Park International Airport,Kalispell,US,48.3105,-114.256
FCB,Ficksburg Sentraoes Airport,Ficksburg,ZA,-28.8231,27.9089
FCM,Flying Cloud Airport,Eden Prairie,US,44.8272,-93.4571
FCN,Nordholz Naval Airbase,Nordholz,DE,53.7677,8.6585
FCO,Leonardo da Vinci–Fiumicino Airport,Rome,IT,41.8003,12.2389
FCS,Butts AAF (Fort Carson) Air Field,Fort Carson,US,38.6784,-104.757
FDF,Martinique Aimé Césaire International Airport,Fort-de-france,MQ,14.591,-61.0032
FDH,Friedrichshafen Airport,Friedrichshafen,DE,47.6713,9.5115
FDO,San Fernando Airport,San Fernando,AR,-34.4532,-58.5896
FDU,Bandundu Airport,Bandoundu,CD,-3.3113,17.3817
FDY,Findlay Airport,Findley,US,41.0135,-83.6687
FEG,Fergana International Airport,Fergana,UZ,40.3588,71.745
FEL,Fürstenfeldbruck Air Base,Fuerstenfeldbruck,DE,48.2056,11.2669
FEN,Fernando de Noronha Airport,Fernando Do Noronha,BR,-3.8549,-32.4233
FET,Fremont Municipal Airport,Fremont,US,41.4491,-96.5202
FEZ,Saïss Airport,Fes,MA,33.9273,-4.978
FFA,First Flight Airport,Kill Devil Hills,US,36.0182,-75.6713
FFD,RAF Fairford,Fairford,GB,51.6822,-1.79
FFO,Wright-Patterson Air Force Base,Dayton,US,39.8261,-84.0483
FFT,Capital City Airport,Frankfort,US,38.1825,-84.9047
FFU,Futaleufú Airport,Futaleufu,CL,-43.1892,-71.8511
FGI,Fagali'i Airport,Apia,WS,-13.8487,-171.74
FGU,Fangatau Airport,Fangatau,PF,-15.8199,-140.887
FHU,Sierra Vista Municipal Libby Army Air Field,Fort Huachuca,US,31.5885,-110.344
FIE,Fair Isle Airport,Fair Isle,GB,59.5358,-1.6281
FIG,Fria Airport,Fira,GN,10.3506,-13.5692
FIH,Ndjili International Airport,Kinshasa,CD,-4.3857,15.4446
FIK,Finke Airport,Finke,AU,-25.5947,134.583
FIZ,Fitzroy Crossing Airport,Fitzroy Crossing,AU,-18.1819,125.559
FJR,Fujairah International Airport,Fujeirah,AE,25.1122,56.324
FKB,Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,DE,48.7794,8.0805
FKI,Bangoka International Airport,Kisangani,CD,0.4816,25.338
FKJ,Fukui Airport,Fukui,JP,36.1428,136.224
FKL,Venango Regional Airport,Franklin,US,41.3779,-79.8604
FKQ,Fakfak Airport,Fak Fak,ID,-2.9202,132.267
FKS,Fukushima Airport,Fukushima,JP,37.2274,140.431
FLA,Gustavo Artunduaga Paredes Airport,Florencia,CO,1.5892,-75.5644
FLB,Cangapara Airport,Floriano,BR,-6.8464,-43.0773
FLD,Fond du Lac County Airport,Fond du Lac,US,43.7712,-88.4884
FLF,Flensburg-Schäferhaus Airport,Flensburg,DE,54.7733,9.3789
FLG,Flagstaff Pulliam Airport,Flagstaff,US,35.1385,-111.671
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,26.0726,-80.1527
FLN,Hercílio Luz International Airport,Florianopolis,BR,-27.6703,-48.5525
FLO,Florence Regional Airport,Florence,US,34.1854,-79.7239
FLP,Marion County Regional Airport,Flippin,US,36.2909,-92.5903
FLR,Peretola Airport,Florence,IT,43.81,11.2051
FLS,Flinders Island Airport,Flinders Island,AU,-40.0917,147.993
FLV,Sherman Army Air Field,Fort Leavenworth,US,39.3683,-94.9147
FLW,Flores Airport,Flores,PT,39.4553,-31.1314
FLZ,Dr Ferdinand Lumban Tobing Airport,Sibolga,ID,1.5559,98.8889
FMA,Formosa Airport,Formosa,AR,-26.2127,-58.2281
FME,Tipton Airport,Fort Meade,US,39.0854,-76.7594
FMH,Cape Cod Coast Guard Air Station,Falmouth,US,41.6584,-70.5214
FMI,Kalemie Airport,Kalemie,CD,-5.8756,29.25
FMM,Memmingen Allgau Airport,Memmingen,DE,47.9888,10.2395
FMN,Four Corners Regional Airport,Farmington,US,36.7412,-108.23
FMO,Münster Osnabrück Airport,Munster,DE,52.1346,7.6848
FMY,Page Field,Fort Myers,US,26.5866,-81.8633
FNA,Lungi International Airport,Freetown,SL,8.6164,-13.1955
FNB,Neubrandenburg Airport,Neubrandenburg,DE,53.6022,13.306
FNC,Madeira Airport,Funchal,PT,32.6979,-16.7745
FNI,Nîmes-Arles-Camargue Airport,Nimes,FR,43.7574,4.4163
FNJ,Pyongyang Sunan International Airport,Pyongyang,KP,39.2241,125.67
FNL,Northern Colorado Regional Airport,Fort Collins,US,40.4518,-105.011
FNR,Funter Bay Seaplane Base,Funter Bay,US,58.2544,-134.898
FNT,Bishop International Airport,Flint,US,42.9654,-83.7436
FNU,Oristano-Fenosu Airport,Oristano,IT,39.8953,8.6427
FOC,Fuzhou Changle International Airport,Fuzhou,CN,25.9351,119.663
FOD,Fort Dodge Regional Airport,Fort Dodge,US,42.5515,-94.1926
FOE,Topeka Regional Airport - Forbes Field,Topeka,US,38.9509,-95.6636
FOG,"Foggia ""Gino Lisa"" Airport",Foggia,IT,41.4329,15.535
FOK,Francis S Gabreski Airport,West Hampton Beach,US,40.8437,-72.6318
FOM,Foumban Nkounja Airport,Foumban,CM,5.6369,10.7508
FON,Arenal Airport,La Fortuna/San Carlos,CR,10.478,-84.6345
FOR,Pinto Martins International Airport,Fortaleza,BR,-3.7763,-38.5326
FOS,Forrest Airport,Forrest,AU,-30.8381,128.115
FPO,Grand Bahama International Airport,Freeport,BS,26.5587,-78.6956
FPR,St Lucie County International Airport,Fort Pierce,US,27.4951,-80.3683
FRA,Frankfurt am Main Airport,Frankfurt,DE,50.0333,8.5706
FRB,Forbes Airport,Forbes,AU,-33.3636,147.935
FRC,Tenente Lund Pressoto Airport,Franca,BR,-20.5922,-47.3829
FRD,Friday Harbor Airport,Friday Harbor,US,48.522,-123.024
FRE,Fera/Maringe Airport,Fera Island,SB,-8.1075,159.577
FRG,Republic Airport,Farmingdale,US,40.7288,-73.4134
FRI,Marshall Army Air Field,Fort Riley,US,39.0553,-96.7645
FRJ,Fréjus Airport,Frejus,FR,43.4175,6.7357
FRL,Forlì Airport,Forli,IT,44.1948,12.0701
FRN,Bryant Army Heliport,Fort Richardson,US,61.2664,-149.653
FRO,Florø Airport,Floro,NO,61.5836,5.0247
FRS,Mundo Maya International Airport,Flores,GT,16.9138,-89.8664
FRU,Manas International Airport,Bishkek,KG,43.0613,74.4776
FRW,Francistown Airport,Francistown,BW,-21.1596,27.4745
FRY,Eastern Slopes Regional Airport,Fryeburg,US,43.9911,-70.9479
FRZ,Fritzlar Airport,Fritzlar,DE,51.1146,9.286
FSC,Figari Sud-Corse Airport,Figari,FR,41.5006,9.0978
FSD,Joe Foss Field Airport,Sioux Falls,US,43.582,-96.7419
FSI,Henry Post Army Air Field (Fort Sill),Fort Sill,US,34.6498,-98.4022
FSM,Fort Smith Regional Airport,Fort Smith,US,35.3366,-94.3674
FSP,St Pierre Airport,St.-pierre,PM,46.7629,-56.1731
FSS,RAF Kinloss,Kinloss,GB,57.6494,-3.5606
FST,Fort Stockton Pecos County Airport,Fort Stockton,US,30.9157,-102.916
FTA,Futuna Airport,Futuna Island,VU,-19.5164,170.232
FTE,El Calafate Airport,El Calafate,AR,-50.2803,-72.0531
FTI,Fitiuta Airport,Fiti\'uta,AS,-14.2172,-169.425
FTK,Godman Army Air Field,Fort Knox,US,37.9071,-85.9721
FTU,Tôlanaro Airport,Tolagnaro,MG,-25.0381,46.9561
FTW,Fort Worth Meacham International Airport,Fort Worth,US,32.8198,-97.3624
FTX,Owando Airport,Owando,CD,-0.5314,15.9501
FTY,Fulton County Airport Brown Field,Atlanta,US,33.7791,-84.5214
FUE,Fuerteventura Airport,Fuerteventura,ES,28.4527,-13.8638
FUG,Fuyang Xiguan Airport,Fuyang,CN,32.8822,115.7344
FUJ,Fukue Airport,Fukue,JP,32.6663,128.833
FUK,Fukuoka Airport,Fukuoka,JP,33.5859,130.451
FUL,Fullerton Municipal Airport,Fullerton,US,33.872,-117.98
FUN,Funafuti International Airport,Funafuti,TV,-8.525,179.196
FUO,Foshan Shadi Airport,Foshan,CN,23.0833,113.07
FUT,Pointe Vele Airport,Futuna Island,WF,-14.3114,-178.066
FWA,Fort Wayne International Airport,Fort Wayne,US,40.9785,-85.1951
FWH,NAS Fort Worth JRB/Carswell Field,Dallas,US,32.7692,-97.4415
FXE,Fort Lauderdale Executive Airport,Fort Lauderdale,US,26.1973,-80.1707
FXO,Cuamba Airport,Cuamba,MZ,-14.815,36.53
FYJ,Dongji Aiport,Fuyuan,CN,48.1995,134.3664
FYN,Fuyun Koktokay Airport,Fuyun,CN,46.8042,89.512
FYT,Faya Largeau Airport,Faya-largeau,TD,17.9171,19.1111
FYU,Fort Yukon Airport,Fort Yukon,US,66.5715,-145.25
FYV,Drake Field,Fayetteville,US,36.0051,-94.1701
FZO,Bristol Filton Airport,Bristol,GB,51.5194,-2.5908
GAD,Northeast Alabama Regional Airport,Gadsden,US,33.9726,-86.089
GAE,Gabès Matmata International Airport,Gabes,TN,33.8769,10.1033
GAF,Gafsa Ksar International Airport,Gafsa,TN,34.422,8.8225
GAH,Gayndah Airport,Gayndah,AU,-25.6144,151.619
GAI,Montgomery County Airpark,Gaithersburg,US,39.1683,-77.166
GAJ,Yamagata Airport,Yamagata,JP,38.4119,140.371
GAL,Edward G. Pitka Sr Airport,Galena,US,64.7362,-156.937
GAM,Gambell Airport,Gambell,US,63.7668,-171.733
GAN,Gan International Airport,Gan Island,MV,-0.6933,73.1556
GAO,Mariana Grajales Airport,Guantanamo,CU,20.0853,-75.1583
GAQ,Gao Airport,Gao,ML,16.2484,-0.0055
GAS,Garissa Airport,Garissa,KE,-0.4635,39.6483
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,IN,26.1061,91.5859
GAY,Gaya Airport,Gaya,IN,24.7443,84.9512
GBA,Cotswold Airport,Pailton,GB,51.6681,-2.0569
GBB,Gabala International Airport,Qabala,AZ,40.8267,47.7125
GBD,Great Bend Municipal Airport,Great Bend,US,38.3443,-98.8592
GBE,Sir Seretse Khama International Airport,Gaberone,BW,-24.5552,25.9182
GBG,Galesburg Municipal Airport,Galesburg,US,40.938,-90.4311
GBJ,Les Bases Airport,Grand Bourg,GP,15.8687,-61.27
GBK,Gbangbatok Airport,Gbangbatok,SL,7.767,-12.383
GBT,Gorgan Airport,Gorgan,IR,36.9094,54.4013
GBZ,Great Barrier Aerodrome,Claris,NZ,-36.2414,175.472
GCC,Gillette Campbell County Airport,Gillette,US,44.3489,-105.539
GCH,Gachsaran Airport,Gachsaran,IR,30.3376,50.828
GCI,Guernsey Airport,Guernsey,GG,49.435,-2.602
GCJ,Grand Central Airport,Johannesburg,ZA,-25.9863,28.1401
GCK,Garden City Regional Airport,Garden City,US,37.9275,-100.724
GCM,Owen Roberts International Airport,Georgetown,KY,19.2928,-81.3577
GCN,Grand Canyon National Park Airport,Grand Canyon,US,35.9524,-112.147
GDC,Donaldson Field Airport,Greenville,US,34.7583,-82.3764
GDE,Gode Airport,Gode,ET,5.9351,43.5786
GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,MX,20.5218,-103.311
GDN,Gdańsk Lech Wałęsa Airport,Gdansk,PL,54.3776,18.4662
GDO,Guasdalito Airport,Guasdualito,VE,7.2333,-70.8
GDQ,Gonder Airport,Gondar,ET,12.5199,37.434
GDT,JAGS McCartney International Airport,Cockburn Town,TC,21.4445,-71.1423
GDV,Dawson Community Airport,Glendive,US,47.1387,-104.807
GDW,Gladwin Zettel Memorial Airport,Gladwin,US,43.9706,-84.475
GDX,Sokol Airport,Magadan,RU,59.911,150.72
GDZ,Gelendzhik Airport,Gelendzhik,RU,44.5821,38.0125
GEA,Nouméa Magenta Airport,Noumea,NC,-22.2583,166.473
GEC,Lefkoniko Airport,Geçitkale,CY,35.2359,33.7244
GED,Sussex County Airport,Georgetown,US,38.6892,-75.3589
GEG,Spokane International Airport,Spokane,US,47.6199,-117.534
GEL,Santo Ângelo Airport,Santo Angelo,BR,-28.2817,-54.1691
GEO,Cheddi Jagan International Airport,Georgetown,GY,6.4985,-58.2541
GER,Rafael Cabrera Airport,Nueva Gerona,CU,21.8347,-82.7838
GES,General Santos International Airport,Romblon,PH,6.058,125.096
GET,Geraldton Airport,Geraldton,AU,-28.7961,114.707
GEV,Gällivare Airport,Gallivare,SE,67.1324,20.8146
GEX,Geelong Airport,Geelong,AU,-38.225,144.333
GFF,Griffith Airport,Griffith,AU,-34.2508,146.067
GFK,Grand Forks International Airport,Grand Forks,US,47.9493,-97.1761
GFL,Floyd Bennett Memorial Airport,Queensbury,US,43.3412,-73.6103
GFN,Grafton Airport,Grafton,AU,-29.7594,153.03
GFO,Bartica A Airport,Bartica,GY,6.3589,-58.6552
GFR,Granville Airport,Granville,FR,48.8831,-1.5642
GFY,Grootfontein Airport,Grootfontein,NA,-19.6022,18.1227
GGE,Georgetown County Airport,Georgetown,US,33.3117,-79.3196
GGG,East Texas Regional Airport,Longview,US,32.384,-94.7115
GGM,Kakamega Airport,Kakamega,KE,0.2713,34.7873
GGS,Gobernador Gregores Airport,Gobernador Gregores,AR,-48.7831,-70.15
GGT,Exuma International Airport,Great Exuma,BS,23.5626,-75.878
GGW,Wokal Field Glasgow International Airport,Glasgow,US,48.2125,-106.615
GHA,Noumérat - Moufdi Zakaria Airport,Ghardaia,DZ,32.3841,3.7941
GHB,Governor's Harbour Airport,Governor's Harbor,BS,25.2847,-76.331
GHC,Great Harbour Cay Airport,Bullocks Harbour,BS,25.7383,-77.8401
GHF,[Duplicate] Giebelstadt Army Air Field,Giebelstadt,DE,49.6481,9.9665
GHT,Ghat Airport,Ghat,LY,25.1456,10.1426
GHU,Gualeguaychu Airport,Gualeguaychu,AR,-33.0103,-58.6131
GIB,Gibraltar Airport,Gibraltar,GI,36.1512,-5.3497
GIC,Boigu Airport,Boigu,AU,-9.2328,142.218
GID,Gitega Airport,Gitega,BI,-3.4172,29.9113
GIF,Winter Haven Regional Airport - Gilbert Field,Winter Haven,US,28.0629,-81.7533
GIG,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,BR,-22.81,-43.2506
GII,Siguiri Airport,Siguiri,GN,11.433,-9.167
GIL,Gilgit Airport,Gilgit,PK,35.9188,74.3336
GIR,Santiago Vila Airport,Girardot,CO,4.2762,-74.7967
GIS,Gisborne Airport,Gisborne,NZ,-38.6633,177.978
GIT,Mchauru Airport,Geita,TZ,-2.8137,32.1725
GIU,Sigiriya Air Force Base,Sigiriya,LK,7.9567,80.7285
GIZ,Jizan Regional Airport,Gizan,SA,16.9011,42.5858
GJA,La Laguna Airport,Guanaja,HN,16.4454,-85.9066
GJL,Jijel Ferhat Abbas Airport,Jijel,DZ,36.7951,5.8736
GJM,Guajará-Mirim Airport,Guajara-mirim,BR,-10.7864,-65.2848
GJR,Gjögur Airport,Gjogur,IS,65.9953,-21.3269
GJT,Grand Junction Regional Airport,Grand Junction,US,39.1224,-108.527
GKA,Goroka Airport,Goroka,PG,-6.0817,145.392
GKE,Geilenkirchen Air Base,Geilenkirchen,DE,50.9608,6.0424
GKK,Kooddoo Airport,Kooddoo,MV,0.7324,73.4336
GKL,Great Keppel Is Airport,Great Keppel Island,AU,-23.1833,150.942
GKN,Gulkana Airport,Gulkana,US,62.1549,-145.457
GLA,Glasgow International Airport,Glasgow,GB,55.8719,-4.4331
GLD,Renner Field-Goodland Municipal Airport,Goodland,US,39.3706,-101.699
GLF,Golfito Airport,Golfito,CR,8.654,-83.1822
GLH,Mid Delta Regional Airport,Greenville,US,33.4829,-90.9856
GLI,Glen Innes Airport,Glen Innes,AU,-29.675,151.689
GLK,Galcaio Airport,Galcaio,SO,6.7808,47.4547
GLO,Gloucestershire Airport,Golouchestershire,GB,51.8942,-2.1672
GLR,Gaylord Regional Airport,GAYLORD,US,45.0135,-84.7036
GLS,Scholes International At Galveston Airport,Galveston,US,29.2653,-94.8604
GLT,Gladstone Airport,Gladstone,AU,-23.8697,151.223
GLU,Gelephu Airport,Gelephu,BT,26.8846,90.4641
GLV,Golovin Airport,Golovin,US,64.5505,-163.007
GLW,Glasgow Municipal Airport,Glasgow,US,37.0318,-85.9537
GLZ,Gilze Rijen Air Base,Gilze-rijen,NL,51.5674,4.9318
GMA,Gemena Airport,Gemena,CD,3.2354,19.7713
GMB,Gambella Airport,Gambella,ET,8.1288,34.5631
GMD,Ben Slimane Airport,Ben Slimane,MA,33.6554,-7.2214
